ds,y
2018-03-08 01:30:00,9153
2018-03-08 02:00:00,8892
2018-03-08 02:30:00,8804
2018-03-08 03:00:00,8527
2018-03-08 03:30:00,8423
2018-03-08 04:00:00,8245
2018-03-08 04:30:00,8272
2018-03-08 05:00:00,8341
2018-03-08 05:30:00,8579
2018-03-08 06:00:00,8981
2018-03-08 06:30:00,9591
2018-03-08 07:00:00,10315
2018-03-08 07:30:00,10900
2018-03-08 08:00:00,11363
2018-03-08 08:30:00,11532
2018-03-08 09:00:00,11707
2018-03-08 09:30:00,11749
2018-03-08 10:00:00,11828
2018-03-08 10:30:00,11718
2018-03-08 11:00:00,11719
2018-03-08 11:30:00,11665
2018-03-08 12:00:00,11741
2018-03-08 12:30:00,11538
2018-03-08 13:00:00,11389
2018-03-08 13:30:00,11251
2018-03-08 14:00:00,11178
2018-03-08 14:30:00,11249
2018-03-08 15:00:00,11060
2018-03-08 15:30:00,10918
2018-03-08 16:00:00,10986
2018-03-08 16:30:00,10997
2018-03-08 17:00:00,11095
2018-03-08 17:30:00,11207
2018-03-08 18:00:00,11418
2018-03-08 18:30:00,11677
2018-03-08 19:00:00,12225
2018-03-08 19:30:00,12361
2018-03-08 20:00:00,12280
2018-03-08 20:30:00,11823
2018-03-08 21:00:00,11379
2018-03-08 21:30:00,10925
2018-03-08 22:00:00,10477
2018-03-08 22:30:00,10362
2018-03-08 23:00:00,10823
2018-03-08 23:30:00,10480
2018-03-09 00:00:00,10178
2018-03-09 00:30:00,9937
2018-03-09 01:00:00,9410
2018-03-09 01:30:00,8949
2018-03-09 02:00:00,8617
2018-03-09 02:30:00,8610
2018-03-09 03:00:00,8384
2018-03-09 03:30:00,8213
2018-03-09 04:00:00,8121
2018-03-09 04:30:00,8158
2018-03-09 05:00:00,8232
2018-03-09 05:30:00,8489
2018-03-09 06:00:00,8834
2018-03-09 06:30:00,9426
2018-03-09 07:00:00,10045
2018-03-09 07:30:00,10647
2018-03-09 08:00:00,11077
2018-03-09 08:30:00,11168
2018-03-09 09:00:00,11362
2018-03-09 09:30:00,11403
2018-03-09 10:00:00,11413
2018-03-09 10:30:00,11320
2018-03-09 11:00:00,11256
2018-03-09 11:30:00,11147
2018-03-09 12:00:00,11288
2018-03-09 12:30:00,11218
2018-03-09 13:00:00,11001
2018-03-09 13:30:00,10816
2018-03-09 14:00:00,10600
2018-03-09 14:30:00,10594
2018-03-09 15:00:00,10310
2018-03-09 15:30:00,10157
2018-03-09 16:00:00,10042
2018-03-09 16:30:00,10030
2018-03-09 17:00:00,10045
2018-03-09 17:30:00,10166
2018-03-09 18:00:00,10286
2018-03-09 18:30:00,10335
2018-03-09 19:00:00,10790
2018-03-09 19:30:00,11035
2018-03-09 20:00:00,10927
2018-03-09 20:30:00,10480
2018-03-09 21:00:00,10130
2018-03-09 21:30:00,9633
2018-03-09 22:00:00,9161
2018-03-09 22:30:00,9188
2018-03-09 23:00:00,9775
2018-03-09 23:30:00,9402
2018-03-10 00:00:00,9090
2018-03-10 00:30:00,8792
2018-03-10 01:00:00,8252
2018-03-10 01:30:00,7847
2018-03-10 02:00:00,7546
2018-03-10 02:30:00,7470
2018-03-10 03:00:00,7232
2018-03-10 03:30:00,7111
2018-03-10 04:00:00,6976
2018-03-10 04:30:00,6988
2018-03-10 05:00:00,7060
2018-03-10 05:30:00,7185
2018-03-10 06:00:00,7209
2018-03-10 06:30:00,7546
2018-03-10 07:00:00,7561
2018-03-10 07:30:00,7727
2018-03-10 08:00:00,7965
2018-03-10 08:30:00,8232
2018-03-10 09:00:00,8689
2018-03-10 09:30:00,8931
2018-03-10 10:00:00,9303
2018-03-10 10:30:00,9399
2018-03-10 11:00:00,9505
2018-03-10 11:30:00,9562
2018-03-10 12:00:00,9702
2018-03-10 12:30:00,9704
2018-03-10 13:00:00,9655
2018-03-10 13:30:00,9367
2018-03-10 14:00:00,9106
2018-03-10 14:30:00,9066
2018-03-10 15:00:00,8832
2018-03-10 15:30:00,8570
2018-03-10 16:00:00,8366
2018-03-10 16:30:00,8229
2018-03-10 17:00:00,8227
2018-03-10 17:30:00,8149
2018-03-10 18:00:00,8316
2018-03-10 18:30:00,8496
2018-03-10 19:00:00,8958
2018-03-10 19:30:00,9239
2018-03-10 20:00:00,9331
2018-03-10 20:30:00,9048
2018-03-10 21:00:00,8781
2018-03-10 21:30:00,8428
2018-03-10 22:00:00,8200
2018-03-10 22:30:00,8198
2018-03-10 23:00:00,8865
2018-03-10 23:30:00,8568
2018-03-11 00:00:00,8370
2018-03-11 00:30:00,8132
2018-03-11 01:00:00,7767
2018-03-11 01:30:00,7387
2018-03-11 02:00:00,7121
2018-03-11 02:30:00,6989
2018-03-11 03:00:00,6691
2018-03-11 03:30:00,6620
2018-03-11 04:00:00,6438
2018-03-11 04:30:00,6435
2018-03-11 05:00:00,6451
2018-03-11 05:30:00,6501
2018-03-11 06:00:00,6542
2018-03-11 06:30:00,6603
2018-03-11 07:00:00,6610
2018-03-11 07:30:00,6687
2018-03-11 08:00:00,6756
2018-03-11 08:30:00,7115
2018-03-11 09:00:00,7316
2018-03-11 09:30:00,7555
2018-03-11 10:00:00,7828
2018-03-11 10:30:00,7915
2018-03-11 11:00:00,8046
2018-03-11 11:30:00,8135
2018-03-11 12:00:00,8188
2018-03-11 12:30:00,8277
2018-03-11 13:00:00,8070
2018-03-11 13:30:00,7868
2018-03-11 14:00:00,7693
2018-03-11 14:30:00,7777
2018-03-11 15:00:00,7554
2018-03-11 15:30:00,7327
2018-03-11 16:00:00,7247
2018-03-11 16:30:00,7160
2018-03-11 17:00:00,7172
2018-03-11 17:30:00,7170
2018-03-11 18:00:00,7394
2018-03-11 18:30:00,7662
2018-03-11 19:00:00,8306
2018-03-11 19:30:00,8934
2018-03-11 20:00:00,9028
2018-03-11 20:30:00,8748
2018-03-11 21:00:00,8587
2018-03-11 21:30:00,8252
2018-03-11 22:00:00,7970
2018-03-11 22:30:00,8002
2018-03-11 23:00:00,8548
2018-03-11 23:30:00,8270
2018-03-12 00:00:00,8062
2018-03-12 00:30:00,7857
2018-03-12 01:00:00,7469
2018-03-12 01:30:00,7035
2018-03-12 02:00:00,6863
2018-03-12 02:30:00,6824
2018-03-12 03:00:00,6626
2018-03-12 03:30:00,6497
2018-03-12 04:00:00,6435
2018-03-12 04:30:00,6380
2018-03-12 05:00:00,6543
2018-03-12 05:30:00,6814
2018-03-12 06:00:00,7205
2018-03-12 06:30:00,7821
2018-03-12 07:00:00,8369
2018-03-12 07:30:00,8971
2018-03-12 08:00:00,9468
2018-03-12 08:30:00,9593
2018-03-12 09:00:00,9802
2018-03-12 09:30:00,9826
2018-03-12 10:00:00,9906
2018-03-12 10:30:00,9896
2018-03-12 11:00:00,9784
2018-03-12 11:30:00,9895
2018-03-12 12:00:00,9924
2018-03-12 12:30:00,9935
2018-03-12 13:00:00,9837
2018-03-12 13:30:00,9754
2018-03-12 14:00:00,9682
2018-03-12 14:30:00,9759
2018-03-12 15:00:00,9440
2018-03-12 15:30:00,9371
2018-03-12 16:00:00,9409
2018-03-12 16:30:00,9398
2018-03-12 17:00:00,9364
2018-03-12 17:30:00,9409
2018-03-12 18:00:00,9424
2018-03-12 18:30:00,9676
2018-03-12 19:00:00,10315
2018-03-12 19:30:00,10764
2018-03-12 20:00:00,10743
2018-03-12 20:30:00,10284
2018-03-12 21:00:00,9911
2018-03-12 21:30:00,9438
2018-03-12 22:00:00,9048
2018-03-12 22:30:00,9080
2018-03-12 23:00:00,9488
2018-03-12 23:30:00,9171
2018-03-13 00:00:00,8955
2018-03-13 00:30:00,8555
2018-03-13 01:00:00,8145
2018-03-13 01:30:00,7789
2018-03-13 02:00:00,7445
2018-03-13 02:30:00,7379
2018-03-13 03:00:00,7229
2018-03-13 03:30:00,7108
2018-03-13 04:00:00,7046
2018-03-13 04:30:00,7078
2018-03-13 05:00:00,7144
2018-03-13 05:30:00,7445
2018-03-13 06:00:00,7795
2018-03-13 06:30:00,8545
2018-03-13 07:00:00,8993
2018-03-13 07:30:00,9665
2018-03-13 08:00:00,10184
2018-03-13 08:30:00,10309
2018-03-13 09:00:00,10514
2018-03-13 09:30:00,10531
2018-03-13 10:00:00,10538
2018-03-13 10:30:00,10479
2018-03-13 11:00:00,10515
2018-03-13 11:30:00,10375
2018-03-13 12:00:00,10498
2018-03-13 12:30:00,10502
2018-03-13 13:00:00,10238
2018-03-13 13:30:00,10142
2018-03-13 14:00:00,9888
2018-03-13 14:30:00,9953
2018-03-13 15:00:00,9672
2018-03-13 15:30:00,9532
2018-03-13 16:00:00,9505
2018-03-13 16:30:00,9430
2018-03-13 17:00:00,9456
2018-03-13 17:30:00,9589
2018-03-13 18:00:00,9728
2018-03-13 18:30:00,10055
2018-03-13 19:00:00,10531
2018-03-13 19:30:00,10980
2018-03-13 20:00:00,10957
2018-03-13 20:30:00,10560
2018-03-13 21:00:00,10169
2018-03-13 21:30:00,9653
2018-03-13 22:00:00,9235
2018-03-13 22:30:00,9229
2018-03-13 23:00:00,9737
2018-03-13 23:30:00,9415
2018-03-14 00:00:00,9210
2018-03-14 00:30:00,8867
2018-03-14 01:00:00,8386
2018-03-14 01:30:00,8040
2018-03-14 02:00:00,7752
2018-03-14 02:30:00,7738
2018-03-14 03:00:00,7579
2018-03-14 03:30:00,7471
2018-03-14 04:00:00,7460
2018-03-14 04:30:00,7509
2018-03-14 05:00:00,7652
2018-03-14 05:30:00,8120
2018-03-14 06:00:00,8392
2018-03-14 06:30:00,9100
2018-03-14 07:00:00,9557
2018-03-14 07:30:00,10150
2018-03-14 08:00:00,10488
2018-03-14 08:30:00,10847
2018-03-14 09:00:00,10828
2018-03-14 09:30:00,10807
2018-03-14 10:00:00,10725
2018-03-14 10:30:00,10521
2018-03-14 11:00:00,10485
2018-03-14 11:30:00,10152
2018-03-14 12:00:00,10214
2018-03-14 12:30:00,10124
2018-03-14 13:00:00,9935
2018-03-14 13:30:00,9679
2018-03-14 14:00:00,9543
2018-03-14 14:30:00,9438
2018-03-14 15:00:00,9225
2018-03-14 15:30:00,9012
2018-03-14 16:00:00,8943
2018-03-14 16:30:00,8979
2018-03-14 17:00:00,8951
2018-03-14 17:30:00,9031
2018-03-14 18:00:00,9217
2018-03-14 18:30:00,9554
2018-03-14 19:00:00,10093
2018-03-14 19:30:00,10635
2018-03-14 20:00:00,10561
2018-03-14 20:30:00,10173
2018-03-14 21:00:00,9837
2018-03-14 21:30:00,9296
2018-03-14 22:00:00,8985
2018-03-14 22:30:00,8960
2018-03-14 23:00:00,9458
2018-03-14 23:30:00,9135
2018-03-15 00:00:00,8841
2018-03-15 00:30:00,8558
2018-03-15 01:00:00,7994
2018-03-15 01:30:00,7531
2018-03-15 02:00:00,7297
2018-03-15 02:30:00,7259
2018-03-15 03:00:00,7056
2018-03-15 03:30:00,7013
2018-03-15 04:00:00,6881
2018-03-15 04:30:00,6945
2018-03-15 05:00:00,6963
2018-03-15 05:30:00,7343
2018-03-15 06:00:00,7680
2018-03-15 06:30:00,8174
2018-03-15 07:00:00,8707
2018-03-15 07:30:00,9340
2018-03-15 08:00:00,9885
2018-03-15 08:30:00,10029
2018-03-15 09:00:00,10109
2018-03-15 09:30:00,10268
2018-03-15 10:00:00,10333
2018-03-15 10:30:00,10305
2018-03-15 11:00:00,10287
2018-03-15 11:30:00,10230
2018-03-15 12:00:00,10386
2018-03-15 12:30:00,10308
2018-03-15 13:00:00,9992
2018-03-15 13:30:00,9818
2018-03-15 14:00:00,9559
2018-03-15 14:30:00,9552
2018-03-15 15:00:00,9346
2018-03-15 15:30:00,9167
2018-03-15 16:00:00,9016
2018-03-15 16:30:00,9076
2018-03-15 17:00:00,9175
2018-03-15 17:30:00,9367
2018-03-15 18:00:00,9621
2018-03-15 18:30:00,9712
2018-03-15 19:00:00,10186
2018-03-15 19:30:00,10660
2018-03-15 20:00:00,10587
2018-03-15 20:30:00,10105
2018-03-15 21:00:00,9837
2018-03-15 21:30:00,9327
2018-03-15 22:00:00,8938
2018-03-15 22:30:00,8932
2018-03-15 23:00:00,9391
2018-03-15 23:30:00,9089
2018-03-16 00:00:00,8774
2018-03-16 00:30:00,8457
2018-03-16 01:00:00,8016
2018-03-16 01:30:00,7669
2018-03-16 02:00:00,7355
2018-03-16 02:30:00,7326
2018-03-16 03:00:00,7156
2018-03-16 03:30:00,7055
2018-03-16 04:00:00,6980
2018-03-16 04:30:00,7052
2018-03-16 05:00:00,7207
2018-03-16 05:30:00,7565
2018-03-16 06:00:00,7852
2018-03-16 06:30:00,8479
2018-03-16 07:00:00,8988
2018-03-16 07:30:00,9632
2018-03-16 08:00:00,10026
2018-03-16 08:30:00,10131
2018-03-16 09:00:00,10221
2018-03-16 09:30:00,10290
2018-03-16 10:00:00,10228
2018-03-16 10:30:00,10129
2018-03-16 11:00:00,10052
2018-03-16 11:30:00,9978
2018-03-16 12:00:00,10019
2018-03-16 12:30:00,9882
2018-03-16 13:00:00,9734
2018-03-16 13:30:00,9586
2018-03-16 14:00:00,9406
2018-03-16 14:30:00,9425
2018-03-16 15:00:00,9184
2018-03-16 15:30:00,8894
2018-03-16 16:00:00,8844
2018-03-16 16:30:00,8755
2018-03-16 17:00:00,8773
2018-03-16 17:30:00,8889
2018-03-16 18:00:00,9160
2018-03-16 18:30:00,9416
2018-03-16 19:00:00,9844
2018-03-16 19:30:00,10268
2018-03-16 20:00:00,10340
2018-03-16 20:30:00,9877
2018-03-16 21:00:00,9543
2018-03-16 21:30:00,9137
2018-03-16 22:00:00,8880
2018-03-16 22:30:00,8937
2018-03-16 23:00:00,9438
2018-03-16 23:30:00,9189
2018-03-17 00:00:00,8915
2018-03-17 00:30:00,8654
2018-03-17 01:00:00,8215
2018-03-17 01:30:00,7783
2018-03-17 02:00:00,7465
2018-03-17 02:30:00,7409
2018-03-17 03:00:00,7225
2018-03-17 03:30:00,7124
2018-03-17 04:00:00,7008
2018-03-17 04:30:00,7047
2018-03-17 05:00:00,7083
2018-03-17 05:30:00,7197
2018-03-17 06:00:00,7360
2018-03-17 06:30:00,7454
2018-03-17 07:00:00,7579
2018-03-17 07:30:00,7797
2018-03-17 08:00:00,8042
2018-03-17 08:30:00,8392
2018-03-17 09:00:00,8727
2018-03-17 09:30:00,9115
2018-03-17 10:00:00,9302
2018-03-17 10:30:00,9579
2018-03-17 11:00:00,9873
2018-03-17 11:30:00,9960
2018-03-17 12:00:00,10292
2018-03-17 12:30:00,10464
2018-03-17 13:00:00,10455
2018-03-17 13:30:00,10354
2018-03-17 14:00:00,10207
2018-03-17 14:30:00,10367
2018-03-17 15:00:00,10263
2018-03-17 15:30:00,10182
2018-03-17 16:00:00,10166
2018-03-17 16:30:00,10139
2018-03-17 17:00:00,10213
2018-03-17 17:30:00,10201
2018-03-17 18:00:00,10409
2018-03-17 18:30:00,10588
2018-03-17 19:00:00,10893
2018-03-17 19:30:00,11332
2018-03-17 20:00:00,11340
2018-03-17 20:30:00,11020
2018-03-17 21:00:00,10757
2018-03-17 21:30:00,10496
2018-03-17 22:00:00,10124
2018-03-17 22:30:00,10231
2018-03-17 23:00:00,10879
2018-03-17 23:30:00,10536
2018-03-18 00:30:00,10091
2018-03-18 01:00:00,9612
2018-03-18 01:30:00,9208
2018-03-18 02:00:00,8898
2018-03-18 02:30:00,8827
2018-03-18 03:00:00,8488
2018-03-18 03:30:00,8426
2018-03-18 04:00:00,8304
2018-03-18 04:30:00,8345
2018-03-18 05:00:00,8375
2018-03-18 05:30:00,8601
2018-03-18 06:00:00,8549
2018-03-18 06:30:00,8662
2018-03-18 07:00:00,8568
2018-03-18 07:30:00,8825
2018-03-18 08:00:00,8979
2018-03-18 08:30:00,9236
2018-03-18 09:00:00,9648
2018-03-18 09:30:00,9950
2018-03-18 10:00:00,10273
2018-03-18 10:30:00,10539
2018-03-18 11:00:00,10778
2018-03-18 11:30:00,11016
2018-03-18 12:00:00,11180
2018-03-18 12:30:00,11337
2018-03-18 13:00:00,11349
2018-03-18 13:30:00,11055
2018-03-18 14:00:00,10843
2018-03-18 14:30:00,10914
2018-03-18 15:00:00,10760
2018-03-18 15:30:00,10656
2018-03-18 16:00:00,10606
2018-03-18 16:30:00,10636
2018-03-18 17:00:00,10585
2018-03-18 17:30:00,10637
2018-03-18 18:00:00,10940
2018-03-18 18:30:00,11244
2018-03-18 19:00:00,11796
2018-03-18 19:30:00,12220
2018-03-18 20:00:00,12240
2018-03-18 20:30:00,11978
2018-03-18 21:00:00,11708
2018-03-18 21:30:00,11398
2018-03-18 22:00:00,11054
2018-03-18 22:30:00,11169
2018-03-18 23:00:00,11640
2018-03-18 23:30:00,11334
2018-03-19 00:00:00,11089
2018-03-19 00:30:00,10785
2018-03-19 01:00:00,10427
2018-03-19 01:30:00,9906
2018-03-19 02:00:00,9677
2018-03-19 02:30:00,9734
2018-03-19 03:00:00,9562
2018-03-19 03:30:00,9404
2018-03-19 04:00:00,9324
2018-03-19 04:30:00,9350
2018-03-19 05:00:00,9452
